text,retweet_count,favorite_count,clean_tweet,Hash words,scores,compound,comp_score
"Nothing to do w/current subject but my pet hate, or 1 of many, is when ppl being interviewed abt an assault/murder… https://t.co/T0sc2HcxTo",0,0,"noth w/current subject pet hate, 1 many, ppl interview abt assault/murder...",No hashtags,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.5719}",-0.5719,neg
"@raumsonde543 @CNN https://t.co/hdz1xrANAw
https://t.co/1mijOPFht8
https://t.co/7eRA3HXo3J

First 3 results on Goog… https://t.co/jZhyih874E",0,0,,No hashtags,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@Brehbander Nee, dat valt best mee. Want juist in die casussen (behalve die hate crime hoaxes en collusion) was het… https://t.co/FL7min1XZ7",0,1,"nee, dat valt best mee. want juist die casussen (behalv die hate crime hoax en collusion) het...",No hashtags,"{'neg': 0.525, 'neu': 0.307, 'pos': 0.169, 'compound': -0.9118}",-0.9118,neg
@hqt__ @hack___man @blackvoices It is sensational since it's denied every day. White hate crime and violent crime i… https://t.co/xV4sp4Ywm5,0,0,it sensat sinc deni everi day. white hate crime violent crime i...,No hashtags,"{'neg': 0.646, 'neu': 0.354, 'pos': 0.0, 'compound': -0.9393}",-0.9393,neg
@DannyHackett @bexleynews Hate is a crime now.,0,0,hate crime now.,No hashtags,"{'neg': 0.878, 'neu': 0.122, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@aisssssse ce fut un hate crime ducoup 😢😢 mais au moins notre région a gagné,0,1,ce fut un hate crime ducoup mai au moin notr region gagn,No hashtags,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"The city’s LGBTQI+ officer, PC Kennedy, is back again tonight on Southside. She is ready and waiting to help you wi… https://t.co/K98lUe1TIW",1,1,"the city' lgbtqi+ officer, pc kennedy, back tonight southside. she readi wait help wi...",No hashtags,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4019}",0.4019,pos
"@JasonPayne_10 @CatalinoMares @mrjakehumphrey No problem, happy to educate you, hate crime is an offence,  hope you… https://t.co/vfomN2Khfx",0,0,"no problem, happi educ you, hate crime offence, hope you...",No hashtags,"{'neg': 0.675, 'neu': 0.189, 'pos': 0.137, 'compound': -0.886}",-0.886,neg
https://t.co/D76ouxHiW1,0,0,,No hashtags,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
C’est un hate crime,0,0,c'est un hate crime,No hashtags,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@conor_hunt @metpoliceuk Just sent you a tweet with info from Stonewall on how to report Hate Crime https://t.co/D76ouxHiW1,0,1,just sent tweet info stonewal report hate crime,No hashtags,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@conor_hunt looks like you’re rewriting various tweets so we keep not being able to reply but sending out Love ener… https://t.co/ZCP5ntWTvO,0,1,look like rewrit variou tweet keep abl repli send love ener...,No hashtags,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.7717}",0.7717,pos
@zappomatic That I whole heartedly agree with. There is a bigger question in society on whether we need safe spaces… https://t.co/gqA6A8htfA,0,0,that i whole heartedli agre with. there bigger question societi whether need safe spaces...,No hashtags,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,pos
"@conor_hunt @metpoliceuk Sending out some Love energy 
❤️🧡💛💚💙💜 
https://t.co/D76ouxHiW1",0,1,send love energi,No hashtags,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,pos
"@cornishwoman1 @PHughes74470229 @Feadpool @thatveganlass Literally no one is doing this.

We are pointing out that… https://t.co/ZLIfdzbs2s",0,1,liter one this. we point that...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
"@conor_hunt @metpoliceuk We’re really sorry to hear this happened. And just this week, senior MET officers were so… https://t.co/WZ1FhSgRFG",0,1,"we'r realli sorri hear happened. and week, senior met offic so...",No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
@LeBanMn @GinBuffalo Hate speech is a crime btw https://t.co/gP3EnwMMrV,0,2,hate speech crime btw,No hashtags,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@extraordineli I feel like it was a hate crime,0,1,i feel like hate crime,No hashtags,"{'neg': 0.673, 'neu': 0.093, 'pos': 0.234, 'compound': -0.6908}",-0.6908,neg
I'm observing the same in Germany. A left wing coalition got into power &amp; the new justice minister is alrdy labelin… https://t.co/yvhzFUg7uB,1,4,i'm observ germany. a left wing coalit got power &amp; new justic minist alrdi labelin...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
@UnluckyChandy this is a hate crime,0,1,hate crime,No hashtags,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"So Jessie Smollet found guilty, no surprise to most people as Dave Chapelle will say, so surely this is a black and… https://t.co/WaNZELak7P",0,0,"so jessi smollet found guilty, surpris peopl dave chapel say, sure black and...",No hashtags,"{'neg': 0.174, 'neu': 0.683, 'pos': 0.143, 'compound': -0.128}",-0.128,neg
Jussie Smollett FOUND GUILTY on 5 of 6 Counts in HATE CRIME HOAX 🚨 https://t.co/KbbFPDm20w,0,0,jussi smollett found guilti 5 6 count hate crime hoax,No hashtags,"{'neg': 0.65, 'neu': 0.35, 'pos': 0.0, 'compound': -0.8519}",-0.8519,neg
@paulie5544 @ericswalwell It was a crime driven by hate but not as you imagined it,0,0,it crime driven hate imagin,No hashtags,"{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Donald Trump calls Jussie Smollett’s fake MAGA story a ‘reverse hate crime’ https://t.co/tFWTtTX30e,0,0,donald trump call jussi smollett' fake maga stori 'revers hate crime',No hashtags,"{'neg': 0.563, 'neu': 0.437, 'pos': 0.0, 'compound': -0.8834}",-0.8834,neg
Donald Trump calls Jussie Smollett’s False MAGA Story ‘a Hate Crime in Reverse’ https://t.co/tyDWF8ymKK,0,0,donald trump call jussi smollett' fals maga stori 'a hate crime reverse',No hashtags,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
elle ressemble à une meuf qui pourrait me hate crime,0,0,ell ressembl une meuf qui pourrait hate crime,No hashtags,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@MiaCathell To be fair, Subway is delicious enough to not fall on the ground even while he was a victim of a horrible hate crime.",0,0,"to fair, subway delici enough fall ground even victim horribl hate crime.",No hashtags,"{'neg': 0.474, 'neu': 0.408, 'pos': 0.117, 'compound': -0.7906}",-0.7906,neg
"This is reprehensible, vile behavior, and the perpetrator(a) should have the book thrown at them. Still not a hate… https://t.co/f11pnOikFw",2,3,"thi reprehensible, vile behavior, perpetrator(a) book thrown them. still hate...",No hashtags,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",-0.6249,neg
@ItsAnAyeFaeMe @MsSweetTD @PianoDentist86 @lornaslater When putting stickers on lamp posts and believing sex is rea… https://t.co/hvGC7BiBVc,0,3,when put sticker lamp post believ sex rea...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
@blondbimbobitch @shawty735 if i was called danganronpa but better i'd take it as a hate crime why would you call him that,0,2,call danganronpa better i'd take hate crime would call,No hashtags,"{'neg': 0.447, 'neu': 0.373, 'pos': 0.18, 'compound': -0.6486}",-0.6486,neg
@YoJonez Should be a hate crime,0,0,should hate crime,No hashtags,"{'neg': 0.878, 'neu': 0.122, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Hate crime https://t.co/CdVj2rVLxx,0,1,hate crime,No hashtags,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@_hogwartstyles Hate crime.,0,1,hate crime.,No hashtags,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@IamSean90 So, BLM are sticking with the story that two Nigerians attacked Smollett...
Do they still call it a hate crime or what?",0,1,"so, blm stick stori two nigerian attack smollett... do still call hate crime what?",No hashtags,"{'neg': 0.484, 'neu': 0.516, 'pos': 0.0, 'compound': -0.8834}",-0.8834,neg
@EvaEvabeck @jafiny1971 @JoyAnnReid How did I know that somehow white people were going to get blamed for Jussie Sm… https://t.co/IFzjxhF0WF,0,0,how i know somehow white peopl go get blame jussi sm...,No hashtags,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",-0.34,neg
"@oGototheS Hi,

You can report a hate crime as a witness. Doing so helps us build up a picture that can help convic… https://t.co/3ChiPo5oh3",0,2,"hi, you report hate crime witness. do help u build pictur help convic...",No hashtags,"{'neg': 0.35, 'neu': 0.388, 'pos': 0.262, 'compound': -0.4215}",-0.4215,neg
Netflix not having gavin and Stacey anymore is a hate crime,0,0,netflix gavin stacey anymor hate crime,No hashtags,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@williamsdp83 Their parents are clearly not up to the job of educating them then? 

It's a hate crime, get it repor… https://t.co/yHaAMrQlbw",0,0,"their parent clearli job educ then? it' hate crime, get repor...",No hashtags,"{'neg': 0.444, 'neu': 0.556, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
@GrahamSmyth Hate crime against Guinness,0,0,hate crime guin,No hashtags,"{'neg': 0.878, 'neu': 0.122, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
Trump calls Jussie Smollett’s fake police report a hate crime in reverse https://t.co/xHqq29oFOb,0,0,trump call jussi smollett' fake polic report hate crime revers,No hashtags,"{'neg': 0.595, 'neu': 0.405, 'pos': 0.0, 'compound': -0.8834}",-0.8834,neg
Trump calls Jussie Smollett’s fake police report a hate crime in reverse https://t.co/29tMQyqIOh,0,0,trump call jussi smollett' fake polic report hate crime revers,No hashtags,"{'neg': 0.595, 'neu': 0.405, 'pos': 0.0, 'compound': -0.8834}",-0.8834,neg
Planning Christmas and New Year shopping list and having to add this to my Amazon basket because Patron have selfis… https://t.co/Gnay3c0AlS,0,0,plan christma new year shop list add amazon basket patron selfis...,No hashtags,"{'neg': 0.0, 'neu': 0.855, 'pos': 0.145, 'compound': 0.1779}",0.1779,pos
jack manifold hate crime,0,6,jack manifold hate crime,No hashtags,"{'neg': 0.783, 'neu': 0.217, 'pos': 0.0, 'compound': -0.802}",-0.802,neg
"@AndrewAcum Thanks for red carding, it ablism. Which is hate crime but not many people see it as that. Players woul… https://t.co/KIg7FG9toY",0,5,"thank red carding, ablism. which hate crime mani peopl see that. player woul...",No hashtags,"{'neg': 0.365, 'neu': 0.508, 'pos': 0.127, 'compound': -0.6908}",-0.6908,neg
@XippXapp &amp; yt ppl lie to the cops all the time wasting their time on situations where a black person dared to brea… https://t.co/yKSqLu92WU,0,0,&amp; yt ppl lie cop time wast time situat black person dare brea...,No hashtags,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,nutral
